Velo,SpinRate,HorzBreak,InducedVertBreak,PredictionChance
94.72,2375.0,3.1,18.15,0.22335763881303985
95.25,2033.0,11.26,14.5,0.2814785138378193
92.61,2389.0,11.0,21.93,0.22482777283982164
94.94,2360.0,6.84,18.11,0.2340367857133376
97.42,2214.0,16.7,13.38,0.2955581797947696
95.98,2495.0,11.25,17.12,0.2453932760259136
94.88,1998.0,15.13,15.22,0.2908549115994498
92.73,2049.0,1.55,18.47,0.23159444872217186
92.39,1955.0,18.15,7.25,0.35566609785322356
95.77,1976.0,10.04,14.56,0.27983924963596174
93.27,2076.0,11.45,11.5,0.29921752825867154
91.95,2465.0,9.12,21.0,0.22189223479512404
92.24,2391.0,0.56,13.23,0.24286624585313235
93.1,2130.0,3.97,16.75,0.24389703803476218
95.38,2262.0,7.44,17.64,0.24213967704457798
94.54,2116.0,13.3,8.16,0.32383436343262145
94.22,2325.0,8.85,17.63,0.24388898012417415
95.14,2451.0,5.68,18.71,0.22401926060488103
91.91,2073.0,13.77,14.65,0.2878762167904815
94.42,2232.0,8.61,19.04,0.239432037567328
92.06,2184.0,-3.89,4.09,0.2921292280636742
94.99,2317.0,6.05,13.93,0.2565662897194319
94.8,3009.0,10.06,17.07,0.2216497619552059
91.25,2077.0,13.02,13.67,0.291630172095947
97.6,2080.0,16.79,-0.58,0.39579694904065843
95.78,2314.0,13.22,16.79,0.2608467113995158
95.58,2253.0,5.07,17.3,0.23776163799461986
92.63,2334.0,1.44,17.63,0.22412491419580058
89.9,2191.0,17.65,9.55,0.3276023304450954
96.23,2469.0,6.28,20.41,0.21580999315952426
90.67,2447.0,12.69,14.4,0.26926067151895827
94.1,2261.0,11.57,20.01,0.24123438507799205
94.6,2014.0,2.89,14.19,0.25954932226744576
93.57,2291.0,14.04,14.78,0.27697230882076185
93.74,2200.0,8.27,17.94,0.24611314148895647
94.85,2660.0,6.82,20.72,0.20875311668035076
88.41,1876.0,14.75,13.56,0.3088552852866218
96.76,2353.0,8.91,17.73,0.24130429064728515
97.99,2077.0,14.73,15.91,0.2803449887753043
89.4,2169.0,17.83,8.61,0.3357457058076676
95.17,2305.0,4.59,20.69,0.21690581459018513
90.32,2068.0,13.56,7.73,0.3319777172158603
95.36,2191.0,12.29,9.0,0.3110005261944354
92.29,2591.0,-0.02,15.27,0.22225622735504952
91.98,2273.0,16.16,8.9,0.32174896518807083
95.57,2200.0,15.33,11.87,0.3021274528402436
93.33,2174.0,9.79,15.34,0.266470246591199
92.03,2231.0,4.35,12.68,0.2638313155340016
95.18,2219.0,6.12,19.91,0.22833199747706745
92.89,2141.0,9.56,14.23,0.27396498433194666
97.34,2383.0,5.9,19.13,0.2243330914659057
92.75,2444.0,-0.37,13.54,0.23620513344518718
96.36,2799.0,1.43,12.44,0.23079400720272364
88.32,2289.0,2.7,18.12,0.22837393178809512
89.24,2099.0,4.0,18.98,0.23478853398175895
94.81,1939.0,10.58,14.59,0.2834604975551936
94.95,2228.0,3.24,19.51,0.22254515996308155
91.72,2227.0,2.03,16.19,0.23803054405495508
92.98,2193.0,20.09,7.2,0.34982207565911577
95.68,2169.0,13.62,14.62,0.28140430481088813
90.69,2274.0,3.79,17.91,0.23208792913155474
94.77,1860.0,10.63,12.25,0.30176089298108966
93.23,2270.0,9.65,16.73,0.25390789982007683
95.39,2103.0,16.47,13.96,0.2975275221807244
92.07,2028.0,9.99,17.24,0.2632054933589879
97.67,2792.0,12.23,10.93,0.2694258273619702
95.3,2155.0,5.69,19.92,0.22970217457333475
94.43,1910.0,3.12,12.78,0.2731591296503582
93.48,2333.0,13.84,11.14,0.296458045973435
98.56,2132.0,13.3,10.25,0.3077663131896347
94.08,2041.0,4.45,10.39,0.28550248833923264
94.19,2448.0,6.54,20.37,0.21825779801205755
93.96,1892.0,7.86,16.15,0.2685763864610946
94.16,2479.0,5.98,21.57,0.2096653483758356
93.9,2190.0,16.36,8.61,0.32758466095645206
94.43,2037.0,15.55,12.56,0.30700958020268676
93.32,2366.0,1.29,18.94,0.2155546777000188
92.7,2341.0,2.38,22.79,0.20064618759623862
93.34,1913.0,16.33,7.03,0.35262998586440003
92.42,2182.0,10.7,14.98,0.27128942156669117
92.02,2263.0,14.03,15.01,0.2775508401595723
93.04,2264.0,10.22,14.53,0.2684881491416028
94.05,2253.0,12.93,16.38,0.26582248032680456
93.43,2030.0,10.97,13.58,0.28708255054012966
92.03,2247.0,2.57,18.07,0.22857677999521483
93.77,2034.0,4.07,16.63,0.24868658585454234
94.8,2219.0,11.8,6.13,0.32671955367510663
97.68,2538.0,9.88,19.23,0.22791114495188972
85.09,1771.0,12.72,8.1,0.3446130262287897
88.0,1786.0,13.5,5.5,0.36266238808911627
92.68,2080.0,6.85,14.92,0.26476912677572473
96.71,2201.0,16.14,7.46,0.332468426596257
92.52,2408.0,16.07,13.7,0.2846112629641708
97.32,2046.0,9.6,16.26,0.2646730709000331
95.78,2257.0,15.84,6.45,0.3356890989946502
94.53,2060.0,16.93,5.06,0.35969773739028654
94.7,2544.0,6.52,15.04,0.2420353738490989
94.71,2181.0,3.15,16.58,0.23974893590745316
96.12,1626.0,2.93,13.45,0.281026396473518
91.7,2275.0,19.0,7.15,0.34277697718953054
94.18,2060.0,4.41,15.27,0.25595145080767645
94.23,2278.0,6.96,20.41,0.22592279108242164
94.97,2303.0,3.8,18.51,0.2261438256133671
93.76,2356.0,9.5,16.61,0.2501851889152253
93.07,2450.0,3.11,16.04,0.23195728494684026
94.99,2541.0,13.25,17.8,0.24567511975575165
95.49,2400.0,7.38,14.16,0.25522418219649146
94.82,2538.0,15.16,9.42,0.3007578467829602
92.41,2288.0,12.82,16.42,0.2643878995593754
93.34,2113.0,11.46,15.13,0.27545349844008266
95.29,1836.0,3.34,14.34,0.2677015523002485
95.29,2582.0,10.51,20.09,0.22424574377007833
87.81,2174.0,13.33,13.61,0.2898803955421833
90.93,2437.0,1.64,25.53,0.18348184994328262
93.83,2067.0,6.62,17.77,0.2481082814944612
91.66,2232.0,1.41,20.0,0.21640273012373887
95.73,2462.0,14.35,14.66,0.26981717130088284
89.94,2310.0,18.41,16.98,0.27781614307279995
93.03,2480.0,8.87,17.02,0.24115614138118566
92.38,2132.0,14.34,9.21,0.3206839382788486
93.92,2294.0,9.1,19.55,0.23563405558913628
96.14,2134.0,12.14,14.99,0.2761408233748442
97.3,2393.0,10.53,16.83,0.24882564193585832
90.91,2069.0,16.27,9.02,0.33222510123480653
95.09,2434.0,10.88,18.71,0.23867227638096375
94.16,2199.0,20.66,10.69,0.3277051339901902
91.91,2135.0,15.66,8.5,0.3297384104541237
95.56,1989.0,18.83,9.04,0.3425898549895761
92.17,2224.0,8.2,16.33,0.2544652858924349
91.16,2146.0,14.98,17.96,0.2687859387811186
93.28,2074.0,13.23,9.68,0.3165147179001452
97.7,2477.0,6.23,16.61,0.2344270249758737
92.17,2266.0,3.19,19.88,0.22005581609852864
93.79,2544.0,4.16,16.86,0.22634537154096918
95.96,2534.0,14.36,10.7,0.2900315556909714
92.69,2189.0,8.4,9.55,0.29648404939078277
93.49,2398.0,3.45,10.97,0.26291870867889655
89.41,2183.0,14.83,12.44,0.3006385232150796
93.79,2261.0,5.62,19.85,0.22614700491498435
91.82,2016.0,14.92,8.29,0.3347925966832593
93.18,2226.0,14.53,8.82,0.31871314356685293
94.14,2474.0,12.61,16.47,0.2545079326829321
95.61,2225.0,12.88,15.95,0.2687722375637066
95.78,2204.0,15.94,10.09,0.3150443546048858
93.44,2077.0,1.27,16.75,0.23855550160025205
92.47,2091.0,5.59,16.63,0.2510413889538225
94.8,2339.0,15.02,17.12,0.2634987560582015
91.77,2472.0,-0.63,14.15,0.231487796611429
94.5,2033.0,15.58,13.09,0.30393813054978586
96.88,2340.0,8.34,15.18,0.2542935336298537
92.56,1904.0,13.44,9.82,0.32520836889381877
99.9,2137.0,12.49,5.47,0.33508934217872854
89.57,2278.0,5.12,16.08,0.24586663408656365
91.78,2191.0,9.25,16.09,0.2604715749071421
93.32,2054.0,5.39,15.93,0.25566211550746504
96.84,2246.0,11.0,14.09,0.2725683658184259
92.33,2259.0,14.71,11.06,0.3038311295599972
93.68,2507.0,0.35,14.83,0.2283665419583672
96.56,2398.0,9.14,18.59,0.2354977439704615
95.67,2268.0,7.44,16.18,0.24978682447283865
94.14,2040.0,17.91,8.71,0.3397149410302709
94.68,1860.0,14.45,9.77,0.33011246872233474
92.61,1876.0,17.58,-6.33,0.4544502323559579
94.81,2121.0,12.85,11.06,0.3035078189166828
91.74,2491.0,-0.55,10.24,0.2521433396232489
